ID,Cultural_Identity,Gender,Country_Region,Undergrad_Degree,Years_Work_Experience,Analytics_Work_Experience,Strength_of_Recommendation,Standardized_Test_Score,Legacy_Admission,Mission_Statement,Admitted
13,"White, Non-Hispanic",Male,Americas,Information Sciences,0.54,2.3085343406,5.00,-0.062879166,0,I think analytics is interesting and I want to join your pgram.,0
14,Asian,Male,APAC,Economics,3.91,0,2.12,2.4210191684,0,I aim to leverage your program’s focus on practical experience to gain hands-on skills in data analytics and apply them to drive business success.,0
15,Asian,Male,Americas,Information Sciences,-1.44,1.4284286812,2.06,-0.591875932,0,I need to lern more about data. Your program will help me improve.,0
16,Asian,Male,APAC,Information Sciences,-0.18,0.4715933628,3.63,0.839878471,0,I am excited to join your program to deepen my understanding of advanced analytical techniques and apply them to real-world challenges in the healthcare industry.,0
17,Other,Female,Americas,Other,0.00,0,3.57,0.0732165005,0,,0
18,"White, Non-Hispanic",Male,EMEA,Economics,3.13,0,5.00,1.2488408333,0,I aim to leverage the interdisciplinary approach of your program to integrate data analytics with my background in business and develop holistic solutions to real-world challenges.,1
19,"White, Non-Hispanic",Male,Americas,Other,0.00,0,3.78,0.1652824306,0,I am eager to improve my skills in data analysis through your program.,0
20,"White, Non-Hispanic",Male,Americas,Other,-1.58,0.7113335868,3.28,0.84357435,0,I want to join your program to gain more insights into the field of analytics.,0
21,"White, Non-Hispanic",Female,EMEA,Math + Statistics,-2.02,0,4.12,-0.52788297,0,I am passionate about using data to uncover insights and drive strategic decisions. Your program’s comprehensive curriculum aligns perfectly with my career goals.,0
22,"White, Non-Hispanic",Female,EMEA,Other,4.01,0,3.19,0.3173217357,0,I want to join your program to gain more insights into the field of data analysis.,0
23,Asian,Male,APAC,Analytics,1.71,0,2.18,-0.117968277,0,I have a background in statistics and want to transition into analytics. This program seems like a good fit.,0
24,"White, Non-Hispanic",Female,EMEA,Math + Statistics,-2.06,2.9682080249,2.64,-0.464990258,0,I am excited to join your program to deepen my understanding of data visualization techniques. Effective communication of data insights is crucial for driving strategic decisions and stakeholder engagement.,1
25,Asian,Male,APAC,Economics,0.51,0,5.00,0.4090068083,0,The Master of Analytics program's focus on practical applications and real-world problem-solving resonates with my career goals. My background in statistics and experience in data analysis make me well-prepared to excel in this program and contribute to its community.,0
26,Asian,Male,Americas,Economics,-0.44,0,2.23,1.1106612922,1,"I think analytics is cool and I like data, so I wanna join your program.",0
27,"White, Non-Hispanic",Female,Americas,Math + Statistics,-0.01,0.1518498232,2.65,-0.485916862,0,"With a background in mathematics, I am eager to join your program to enhance my analytical skills and contribute to innovative solutions in various industries.",0
28,Asian,Male,APAC,Math + Statistics,1.77,1.2238846503,4.06,0.0347090354,0,This program looks like it can help me achieve my goals in data analysis.,0
29,Asian,Female,APAC,Information Sciences,-0.68,1.4263657411,2.67,0.892743888,0,I want to lern more about data. Your program will improve me.,0
30,Asian,Male,APAC,Math + Statistics,2.64,2.4028952641,2.02,1.52687919,0,Your program's focus on practical application and state-of-the-art technologies will equip me with the necessary tools to become a proficient data analyst. I am particularly interested in the program’s collaborative projects that bridge the gap between academia and industry.,1
31,Asian,Female,APAC,Math + Statistics,-1.94,4.793814224,4.05,0.122490011,0,"I am excited about the opportunity to join the Master of Analytics program, where I can further develop my skills in data analysis and predictive modeling. This program's strong emphasis on practical applications will prepare me to make a significant impact in the analytics field.",0
32,Asian,Female,APAC,Information Sciences,2.19,2.746594474,3.20,1.4108890869,0,"With a background in computer science, I am eager to join the Master of Analytics program to develop my skills in data analysis and machine learning, and to drive innovation in the tech industry.",0
33,Other,Female,Americas,Other,0.59,0.9763317142,3.51,0.6348372918,1,Your program’s emphasis on hands-on learning will provide me with the practical skills needed to excel in the dynamic field of data analytics.,0
34,"White, Non-Hispanic",Female,Americas,Analytics,6.25,1.3265327933,2.66,-0.361305868,0,I have some experience in data analysis. Your program looks great for me.,0
35,Hispanic,Female,Americas,Math + Statistics,2.77,0.3758706759,4.30,-0.892414205,0,I'm awesome and you should let me into your program.,0
36,"Black, Non-Hispanic",Female,Americas,Other,-0.15,0,3.69,1.3063022263,0,I believe this program can help me gain a better understanding of analytics.,0
37,Asian,Male,APAC,Economics,4.16,0.74332154,3.13,0.7473150669,0,"I am passionate about transforming raw data into actionable insights that drive strategic decisions. By joining your program, I aim to acquire advanced analytical skills and methodologies to excel in the dynamic field of data science and contribute meaningfully to my future employer's success.",1
38,"White, Non-Hispanic",Male,EMEA,Information Sciences,-1.06,0.2947791551,2.44,1.1375277679,1,My passion for analytics stems from my undergraduate studies in information sciences and my work experience in data-driven projects. The Master of Analytics program will allow me to refine my skills and explore innovative solutions. I am excited to learn from industry experts and collaborate with like-minded individuals to make a meaningful impact.,1
39,Asian,Female,APAC,Economics,2.47,0.014169254,2.60,0.7836998159,0,"Your program looks interesting, and I want to join to learn more about data.",0
40,"Black, Non-Hispanic",Female,Americas,Information Sciences,0.00,0,2.11,-0.526166518,1,I like your program and want to join. I did some data before.,0
41,Hispanic,Male,Americas,Information Sciences,1.15,0,2.01,1.5549892789,0,"With a degree in information sciences and hands-on experience in data analysis, I am well-prepared to excel in the Master of Analytics program. I am excited to deepen my knowledge, collaborate with peers, and contribute to projects that drive meaningful change. I am committed to using data to create value and make a positive impact.",0
42,"White, Non-Hispanic",Male,EMEA,Analytics,15.49,0,3.32,-1.584589907,0,My experience in data analysis and my passion for predictive modeling make the Master of Analytics program an ideal fit for me. I look forward to learning from esteemed faculty and contributing to impactful projects.,1
43,"White, Non-Hispanic",Male,Americas,Math + Statistics,5.40,1.5025251829,3.44,-0.299452754,0,I am excited about the chance to enhance my analytics skills through your program.,0
44,Asian,Male,APAC,Other,-0.36,0.0510197186,1.35,-0.410694381,0,,0
45,Asian,Male,APAC,Other,1.01,0,1.99,-0.617887113,0,,0
46,"White, Non-Hispanic",Male,EMEA,Analytics,-0.82,0.7347973991,3.67,-3.176489875,0,"With a strong foundation in statistics and a keen interest in predictive modeling, I am excited to join your program to gain advanced skills in analytics and contribute to impactful projects.",1
47,"White, Non-Hispanic",Female,Americas,Math + Statistics,2.34,0,3.25,-0.149512614,1,"Analytics seems cool, so I want to join your program.",0
48,"White, Non-Hispanic",Female,Americas,Math + Statistics,0.09,0.7634707367,3.48,-1.430592301,0,"I think analytics is fun, and I need something to do.",0
49,Hispanic,Male,Americas,Information Sciences,-1.55,0,2.00,0.1236352112,0,I am motivated to join your program to gain expertise in predictive analytics and its applications. The program’s comprehensive curriculum and practical experience will provide the knowledge and skills needed to excel in this area.,0
50,Asian,Female,APAC,Math + Statistics,1.80,6.9609416266,2.59,0.0450093376,0,"With a background in analytics and several years of professional experience, I am eager to take my skills to the next level. The Master of Analytics program offers the perfect blend of theory and practical application, enabling me to become a leader in the field. I am committed to leveraging data to drive strategic decisions and create positive change.",0
51,"White, Non-Hispanic",Female,Americas,Economics,1.45,0,3.45,1.8373934561,0,"With a solid foundation in statistics and a keen interest in data-driven problem solving, I am eager to deepen my expertise in data analytics through your esteemed program, which offers a blend of theoretical knowledge and practical application.",1
52,Asian,Male,Americas,Math + Statistics,-0.00,0,2.25,-0.098629802,0,I want to join becuz your program looks interesting and learn more about data.,0
53,"White, Non-Hispanic",Female,Americas,Other,0.32,3.0390231519,1.26,-0.555305006,0,,0
54,"White, Non-Hispanic",Female,Americas,Analytics,2.91,4.1679941539,2.28,-1.332501513,0,,0
55,"White, Non-Hispanic",Male,Americas,Analytics,6.29,0,4.96,2.2324535662,0,I seek to leverage your program’s cutting-edge curriculum and industry partnerships to become a leader in data science. Your program’s emphasis on real-world projects and innovative research aligns perfectly with my career goals.,1
56,Asian,Male,APAC,Other,1.55,0,3.32,0.6491238835,0,Your program’s focus on advanced analytics will help me stay ahead in a competitive job market. The program’s rigorous training and practical experience will enhance my professional skills and career prospects.,0
57,Hispanic,Female,EMEA,Information Sciences,0.14,0,5.00,-1.745649959,0,I am eager to develop my skills in data analysis through your program.,0
58,Hispanic,Male,Americas,Information Sciences,0.24,0.5866447925,3.97,0.0509289571,0,"With a strong foundation in computer science, I am eager to join your program to develop my data analysis skills and contribute to advancements in technology.",0
59,"White, Non-Hispanic",Male,APAC,Other,17.10,0.0774805122,3.06,0.2816846441,0,I think this program offers the right courses for my career goals in analytics.,0
60,"White, Non-Hispanic",Female,Americas,Other,0.00,0,2.14,0.5125949727,0,Your program looks decent for learning more about analytics.,0
61,"White, Non-Hispanic",Female,Americas,Math + Statistics,0.86,0,3.56,-0.550954278,0,I like data and want to learn analytics. This program will help me alot.,0
62,Hispanic,Male,Americas,Information Sciences,-0.07,0.3234968366,3.40,0.8142032481,0,"I am drawn to this program because of its ideal blend of theory and practical application. My academic background in computer science has equipped me with strong technical skills, but I am eager to enhance my practical experience. This program's emphasis on applying theoretical knowledge to real-world problems is exactly what I need to bridge the gap between academia and industry. The opportunities for hands-on projects, internships, and collaborative work are particularly appealing to me. I believe this balanced approach will not only deepen my understanding of analytics but also prepare me for a successful career in the field.",1
63,Asian,Male,APAC,Math + Statistics,0.42,0.8551497521,4.19,0.0931076408,0,Your program’s comprehensive training will equip me with the skills to become a successful data scientist. The blend of theoretical knowledge and practical application will prepare me for a dynamic career.,0
64,"White, Non-Hispanic",Female,EMEA,Math + Statistics,-6.22,1.9928513855,3.93,-0.848214641,0,I have some experience in analytics and want to build on that through your program.,0
65,Asian,Female,APAC,Other,9.45,0,2.02,0.1753937789,0,Your program is good for me becuz I want to learn analytics and get a job.,0
66,Hispanic,Female,APAC,Other,0.00,0,3.70,0.4911681822,0,"Your program is good, I love analytics and data, so I wanna join.",0
67,"Black, Non-Hispanic",Male,Americas,Analytics,-1.04,3.2509988414,4.90,-1.795243105,0,,0
68,Asian,Female,APAC,Math + Statistics,3.18,0.4992816722,3.85,-0.809505741,0,"Your program will help me get better, I wanna learn more about data.",0
69,"White, Non-Hispanic",Female,Americas,Economics,2.55,0.0405277063,3.11,0.2132601088,0,,0
70,Asian,Female,APAC,Analytics,0.04,1.0571598321,3.13,0.5972010457,0,Your program’s comprehensive training will help me develop a strong foundation in data analytics. The program’s blend of theoretical knowledge and practical skills will prepare me for a successful career.,0
71,"White, Non-Hispanic",Male,Americas,Information Sciences,0.60,0.0560787188,2.82,0.9193958251,0,"With a background in computer science, I am eager to join your program to develop my skills in data analysis and machine learning, and to contribute to innovative projects.",1
72,"White, Non-Hispanic",Female,Americas,Other,21.17,0.0503208277,1.89,0.9438570794,0,I think data are awesome. I wanna earn lots of money. Please let me join your program!,0
73,Asian,Female,APAC,Economics,2.45,1.8104760472,2.07,0.2713181795,0,"I love data and analytics, so I want to join. Your program suits me.",0
74,"Black, Non-Hispanic",Female,Americas,Math + Statistics,3.48,0,4.99,-0.398824254,0,I am eager to explore the latest advancements in data analytics through your program’s cutting-edge curriculum. Staying ahead of industry trends and technologies is crucial for developing innovative solutions.,0
75,"White, Non-Hispanic",Male,Americas,Other,6.31,0.1450938679,3.71,-0.570442022,0,I want to join your program to gain a better understanding of data analysis.,0
76,Asian,Male,APAC,Economics,-0.08,0,2.75,0.2120735964,0,"With a background in economics and a passion for data analysis, I am eager to join your program to gain advanced skills in analytics and contribute to solving complex business problems.",0
77,Asian,Female,APAC,Math + Statistics,5.42,0,2.15,1.3731561844,0,I aim to leverage the interdisciplinary approach of your program to integrate data analytics with my background in business and develop holistic solutions to real-world challenges.,0
78,Asian,Female,Americas,Economics,0.17,1.6363820361,2.33,0.6983553348,1,Your program is perfect for me. I wanna learn more about analytics.,0
79,"White, Non-Hispanic",Male,EMEA,Math + Statistics,0.68,1.565625421,4.68,-0.35099874,1,Your program’s commitment to innovation will inspire me to think creatively and develop cutting-edge solutions to analytical challenges.,1
80,Hispanic,Male,EMEA,Analytics,-1.82,2.6001626738,3.34,-0.958418973,0,I am excited to join your program to gain a deeper understanding of advanced analytical techniques and apply them to real-world challenges in the tech industry.,0
81,Hispanic,Male,Americas,Other,4.48,0,0.66,-1.112905253,1,I have some exprience in data and think this program will help me get better at it.,0
82,Asian,Male,APAC,Economics,-1.60,0,2.34,-0.74102011,0,,0
83,Asian,Male,APAC,Information Sciences,0.05,1.3115909361,3.32,0.8853229379,1,"As an aspiring data scientist, I am drawn to the Master of Analytics program for its rigorous curriculum and focus on real-world applications. My experience in data analysis and passion for uncovering insights will enable me to thrive in this program and contribute meaningfully.",1
84,Asian,Male,APAC,Economics,3.24,2.5539633816,4.46,0.1055391919,0,I think your program offers the right mix of theory and practical experience.,0
85,Asian,Male,APAC,Economics,-0.46,2.4341299733,2.90,0.030768261,0,Your program looks like it can help me advance my career in data analysis.,0
86,"White, Non-Hispanic",Female,EMEA,Information Sciences,0.00,0,3.28,0.1987513869,0,"With a strong foundation in computer science, I am eager to join your program to develop my data analysis skills and contribute to advancements in technology.",0
87,Asian,Male,Americas,Other,4.59,0.520517476,4.18,0.3039969737,0,I am looking for a program that offers comprehensive training in data analysis.,0
88,Hispanic,Male,EMEA,Other,-1.75,3.0047847564,3.41,0.812648433,1,I seek to enhance my problem-solving skills through the rigorous training offered by your program. The analytical techniques and methodologies taught will equip me to tackle complex challenges effectively.,1
89,Hispanic,Male,Americas,Math + Statistics,0.11,9.7148375405,5.00,0.4220460102,0,I am interested in learning more about analytics through your program.,0
90,Other,Male,Americas,Math + Statistics,-1.99,0,3.51,0.0647772652,0,"With a background in statistics, I am eager to deepen my knowledge of data analytics through your program’s rigorous coursework and hands-on learning opportunities.",0
91,"White, Non-Hispanic",Male,EMEA,Economics,1.00,0,2.53,-0.146676782,0,"I think your program is good and I love analytics and data, so I want to join.",0
92,Other,Male,Americas,Analytics,-2.78,1.4429419739,3.44,-1.113433478,0,,0
93,"White, Non-Hispanic",Female,EMEA,Other,2.32,0,2.99,-0.005785776,0,"My interest in data analysis has grown over the years, and I think this program is the right step to advance my knowledge.",0
94,"Black, Non-Hispanic",Male,Americas,Math + Statistics,6.00,0.0089489934,3.66,0.5239098866,0,"Analytics is kind of interesting, and I need a program to join.",0
95,"White, Non-Hispanic",Female,Americas,Math + Statistics,-1.77,0,4.06,0.9730483007,1,"I am interested in learning more about analytics, and this program seems to offer the right courses and experiences.",1
96,Hispanic,Male,Americas,Math + Statistics,-4.00,0.2576259893,2.78,0.6943569945,0,I think your program offers the right opportunities for me to grow in data analysis.,0
97,Hispanic,Male,Americas,Economics,0.87,0.0568287634,3.01,0.6778937524,0,I am looking for a program that offers comprehensive training in analytics.,0
98,Hispanic,Female,APAC,Analytics,16.08,3.5103707646,4.08,-0.890436678,0,"I want to deepen my understanding of data analysis, and your program looks ideal.",0
99,"White, Non-Hispanic",Male,Americas,Analytics,-3.69,7.3346512796,2.63,-2.753051807,0,I am excited about the chance to develop my analytics skills through your program.,0
100,Asian,Female,APAC,Economics,0.56,0.7844819758,4.56,-0.063522152,0,I want to join your program becuz it’s good and analytics is fun.,0
101,"White, Non-Hispanic",Female,Americas,Information Sciences,0.48,0,4.02,0.0074996636,0,My passion for data analytics and my background in engineering make the Master of Analytics program the perfect fit for me. I look forward to learning from industry experts and contributing to impactful projects.,1
102,"White, Non-Hispanic",Male,EMEA,Other,3.39,2.2769379307,4.66,0.2376542066,0,I want to join your program to gain a better understanding of analytics.,0
103,Asian,Male,APAC,Math + Statistics,0.00,0,2.66,0.7269458323,0,,0
104,Asian,Female,APAC,Other,3.58,1.7761772322,4.02,1.2747025634,0,I want to join your program to gain more insights into data analysis.,0
105,Asian,Female,Americas,Economics,-2.42,2.669554259,2.99,0.1780450883,0,I have some experience in data analysis and want to deepen my skills with this program.,0
106,"White, Non-Hispanic",Female,Americas,Analytics,27.52,0.3077512645,3.32,0.6159410127,0,Your program’s focus on data-driven insights will enhance my ability to make informed business decisions. The program’s emphasis on practical applications and real-world scenarios will prepare me for strategic roles.,1
107,"White, Non-Hispanic",Male,Americas,Math + Statistics,-0.28,0.0504434827,2.22,0.4731867985,0,"I want to expand my knowledge in data analysis, and your program seems like a good fit.",0
108,Asian,Male,APAC,Other,0.00,0,3.18,0.8136318313,0,Your program seems like a good opportunity for me to learn more about data analysis.,0
109,"White, Non-Hispanic",Female,Americas,Other,0.20,1.5725283621,3.39,1.3096448375,0,Your program’s focus on innovation will inspire me to think creatively in the field of data analytics. The program’s cutting-edge curriculum and hands-on projects will provide the foundation for developing innovative solutions.,1
110,"White, Non-Hispanic",Male,Americas,Economics,-0.68,0,3.13,0.5734235844,0,I am excited to explore the ethical dimensions of data analytics through your program’s comprehensive coursework. Understanding the ethical implications of data usage is crucial for responsible and impactful analysis.,1
111,Asian,Male,APAC,Analytics,-1.57,0,3.48,-0.051705496,0,,0
112,Asian,Male,APAC,Math + Statistics,0.76,0.2565867105,4.34,-0.5746554,0,I am excited about the prospect of learning more about data analysis through your program.,0
113,"White, Non-Hispanic",Male,Americas,Math + Statistics,4.98,2.6445685474,2.63,-0.201160339,0,Parents told me get a job or apply to grad school. Let me in your program so I don't have to work.,0
114,"White, Non-Hispanic",Female,EMEA,Math + Statistics,3.17,0.7489008225,3.18,-0.645872643,0,I have been working in data analysis and want to formalize my skills through your program.,0
115,"Black, Non-Hispanic",Male,Americas,Economics,0.00,0,2.75,-0.481978684,0,"I love working with numbers and stuff, so I wanna join. The program looks cool and I can do well.",0
116,Asian,Male,APAC,Information Sciences,-6.04,0,3.00,-0.309689495,0,,0
117,Asian,Male,APAC,Other,1.89,0.7545612741,4.34,-0.762860947,0,"I think your program looks good and I like analytics, so I wanna join.",0
118,Asian,Female,Americas,Economics,-1.20,1.6404859965,3.32,-0.205322161,0,"I have always been fascinated by the power of data to drive decision-making. With a degree in economics and hands-on experience in data analysis, I am well-prepared to excel in your Master of Analytics program. I am particularly interested in learning advanced analytical techniques and applying them to business challenges to create value.",0
119,Hispanic,Male,EMEA,Other,0.33,1.5034677292,2.94,1.6307947113,0,I think this program offers the right blend of theory and practice for my career in analytics.,0
120,Asian,Female,APAC,Math + Statistics,-4.97,3.053878443,2.91,-0.468147163,0,,0
121,"White, Non-Hispanic",Male,Americas,Math + Statistics,0.34,0,3.58,0.6408741275,0,I am excited to join your program to gain a deeper understanding of data mining techniques and apply them to extract valuable insights from large datasets.,1
122,"White, Non-Hispanic",Female,Americas,Information Sciences,4.71,0.3609649538,3.34,-0.964620743,0,"Data are cool and I wanna earn money. Let me join your program, please!",0
123,"White, Non-Hispanic",Male,Americas,Other,0.65,2.7574078496,5.00,2.0817910495,0,I am eager to join your program to gain a deeper understanding of data mining techniques. The program’s emphasis on practical applications and real-world scenarios will prepare me for the complexities of the field.,1
124,Other,Female,EMEA,Math + Statistics,1.00,1.8669287221,2.92,-0.796762457,0,"Your program looks good for me, and I like analytics, so I wanna join.",0
125,"White, Non-Hispanic",Female,Americas,Economics,8.59,0,4.38,-1.091896372,0,Your program looks like a good opportunity for me to develop my skills in analytics.,0
126,"White, Non-Hispanic",Female,EMEA,Other,-0.85,0.3792886687,3.60,-1.523207719,0,,0
127,Asian,Male,APAC,Information Sciences,8.20,1.9119403977,2.83,-0.670355858,0,"I am looking for a program that can help me better understand data analysis, and yours seems ideal.",0
128,Asian,Male,APAC,Math + Statistics,5.78,1.1301846759,5.00,1.3934142027,0,"I seek to develop advanced analytical skills through your program to drive data-driven decisions in the healthcare industry, ultimately improving patient outcomes.",0
129,"White, Non-Hispanic",Male,Americas,Other,2.82,4.503557308,1.55,-2.483363877,0,,0
130,Asian,Male,APAC,Other,0.20,1.3691426107,2.53,-0.993794764,0,,0
131,"White, Non-Hispanic",Male,EMEA,Other,6.54,5.7865942788,2.64,1.6120631611,0,I want to leverage your program’s strong industry ties to gain practical experience in data analytics. Internships and collaborative projects will provide valuable insights and professional growth opportunities.,1
132,Asian,Female,APAC,Other,-1.74,0,2.63,0.4150978575,0,,0
133,Asian,Female,APAC,Other,2.89,6.9888607807,3.72,0.4478693136,0,I am committed to mastering data analytics to make informed decisions in the healthcare industry. Your program’s specialized courses and practical training will provide me with the expertise needed to drive improvements in patient care and outcomes.,1
134,Asian,Male,APAC,Other,1.24,0.8088746749,2.31,0.5654940803,0,,0
135,"White, Non-Hispanic",Male,Americas,Math + Statistics,0.42,0.148432803,5.00,-0.327452214,0,This program seems to offer the practical experience I need to advance in data analysis.,0
136,Hispanic,Female,Americas,Other,10.52,0,1.35,0.533697855,0,,0
137,Other,Male,EMEA,Economics,-0.03,0,1.99,-1.238296893,0,"With my experience in analytics, I believe your program can further develop my expertise.",0
138,Asian,Male,APAC,Other,7.16,0,2.81,0.3331737145,0,Your program looks good and I want to join. I like analytics.,0
139,"White, Non-Hispanic",Male,EMEA,Analytics,-1.43,0.362494662,2.64,-0.237115299,0,,0
140,"White, Non-Hispanic",Female,Americas,Economics,-3.59,1.8390338137,4.38,1.0996167299,0,I have been working in data analysis and want to formalize my skills through your program.,0
141,"Black, Non-Hispanic",Female,Americas,Economics,0.45,1.137891423,4.32,1.2640279513,1,"I wanna learn analytics and get a job, so your program is good for me.",0
142,"Black, Non-Hispanic",Female,Americas,Other,0.65,0,5.00,0.5857598713,0,Your program is perfect for me becuz I wanna learn analytics more.,0
143,"Black, Non-Hispanic",Male,Americas,Analytics,2.83,0.3116161399,3.15,-1.254674793,0,"I have to learn more about analytics, so your program will do.",0
144,Hispanic,Male,Americas,Math + Statistics,0.90,0.4865879482,2.34,-1.520972275,0,Your program will help me get better. I wanna lern more about data.,0
145,Asian,Female,APAC,Math + Statistics,0.75,3.0968243133,3.77,1.3813862104,0,I seek to enhance my data storytelling skills through the comprehensive training offered by your program. Communicating complex data insights effectively is essential for driving business success.,0
146,Asian,Female,APAC,Math + Statistics,-0.64,0.2888595637,3.37,0.5327612188,0,Your program’s emphasis on practical applications will prepare me to address complex analytical challenges and drive business growth in my future career.,0
147,"White, Non-Hispanic",Female,EMEA,Information Sciences,0.00,0,3.69,0.830076607,0,Your program’s hands-on projects will provide me with practical experience in data analytics. The program’s focus on real-world applications will enhance my problem-solving skills and practical expertise.,1
148,Asian,Male,APAC,Information Sciences,1.48,0,2.71,0.6073325709,0,Your program looks like it can provide the training I need to excel in data analysis.,0
149,"White, Non-Hispanic",Male,Americas,Other,7.10,0,3.37,-1.734173549,0,I am eager to improve my skills in analytics through your program.,0
150,"White, Non-Hispanic",Male,EMEA,Other,-4.27,0,2.97,-0.303782701,0,Your program is good and I want to join cuz I love data and analytics.,0
151,"White, Non-Hispanic",Female,Americas,Information Sciences,0.00,0,3.19,-1.579738943,0,I aim to leverage your program’s resources to stay updated with the latest trends in data analytics. Continuous learning and adaptation are essential for staying relevant in the fast-paced field of data science.,1
152,Asian,Female,APAC,Economics,-0.14,0.5826239429,2.53,0.5208913135,0,"I am passionate about using data to drive business growth, and your program’s comprehensive curriculum will provide me with the knowledge and skills needed to achieve this.",0
153,"White, Non-Hispanic",Male,Americas,Economics,11.67,1.2986425681,2.43,-0.450740871,0,I want to lern more about data. Your program will help me get better.,0
154,"White, Non-Hispanic",Male,EMEA,Other,0.35,0.3886443859,3.73,0.5523282582,0,"I am eager to develop my skills in data analysis, and this program seems well-suited for my career goals.",1
155,Asian,Male,APAC,Economics,4.07,1.761763865,3.95,-1.358302075,0,,0
156,Other,Male,EMEA,Other,17.86,0.0671781521,3.78,-0.563338628,0,I am excited to join your program to explore new methodologies in data analytics and apply them to solve complex business problems.,0
157,Asian,Male,EMEA,Other,-0.33,3.2308585397,4.07,-0.061140508,0,Your program seems like it can teach me more about data.,0
158,Asian,Male,APAC,Economics,0.54,0,4.22,0.6635500892,0,I love analytics and want to learn it in your program. I think I can do good.,0
159,Asian,Male,APAC,Math + Statistics,0.70,0,3.50,1.6182506887,1,I am excited about the opportunity to develop my skills in analytics through your program.,0
160,"Black, Non-Hispanic",Female,Americas,Economics,0.45,0.0805474406,2.31,0.2607065059,0,Your program’s commitment to excellence aligns with my goal of becoming a top-tier data analyst. The program’s rigorous training and industry connections will provide the foundation for a successful career.,0
161,Hispanic,Female,EMEA,Math + Statistics,0.87,0.9629205289,1.85,-0.961832499,0,I think your program is perfect for learning more about analytics.,0
162,Asian,Female,APAC,Other,2.22,5.0188709367,4.17,0.8274487168,0,,0
163,Asian,Female,Americas,Information Sciences,-0.32,0,4.09,0.3047720098,0,Your program seems to offer the right opportunities for me to grow in analytics.,0
164,"White, Non-Hispanic",Female,EMEA,Math + Statistics,1.04,2.5270218494,3.78,0.7366179391,0,I like data and want to do analytics. This program will help me learn.,0
165,Other,Female,EMEA,Other,9.18,0,2.65,1.3515610546,0,Your program is good for me cuz I want to learn analytics and get a good job.,0
166,"White, Non-Hispanic",Male,EMEA,Math + Statistics,0.30,0,3.26,-0.597309337,1,I believe your program offers the right balance of coursework and practical experience.,1
167,"White, Non-Hispanic",Male,Americas,Other,7.16,1.4422003988,4.81,-0.334226234,0,Your program seems like a good opportunity for me to learn more about data analysis.,0
168,"White, Non-Hispanic",Male,EMEA,Other,11.27,0.0952035353,3.07,0.242741055,0,I have a foundation in statistics and want to expand into data analysis with your program.,0
169,"White, Non-Hispanic",Male,EMEA,Other,-1.31,0.3418735955,4.45,2.2174897311,0,"With a passion for data-driven decision-making, I am eager to join your program to gain advanced skills in analytics and drive strategic decisions in my future career.",1
170,Asian,Female,APAC,Analytics,-2.62,2.9864097805,1.14,-0.936010549,0,I possess some experience in data analysis and am eager to deepen my knowledge.,0
171,"White, Non-Hispanic",Female,Americas,Other,-0.93,0.2615431053,3.91,0.1035551177,0,I aim to develop my skills in machine learning through your program to leverage advanced techniques in data analytics and drive innovation.,0
172,"Black, Non-Hispanic",Male,Americas,Analytics,0.36,0,2.89,-1.176960835,0,I am eager to join your program to gain a deeper understanding of data analysis.,0
173,Hispanic,Male,Americas,Other,-0.98,0.1310507204,1.24,1.3612192135,0,"I aim to develop my expertise in data warehousing through your program’s specialized coursework, enabling me to manage and analyze large datasets effectively.",0
